Year,Agency,Alliance,Predicted Seats
2026,Chanakya,BJP+,155
2026,Chanakya,TMC+,135
2026,Chanakya,OTHERS+,8
2026,Matrize,BJP+,153
2026,Matrize,TMC+,133
2026,Matrize,OTHERS+,8
2026,PeoplesPulse,TMC+,182
2026,PeoplesPulse,BJP+,102
2026,PeoplesPulse,OTHERS+,2
2026,PollDiary,BJP+,156
2026,PollDiary,TMC+,113
2026,PollDiary,OTHERS+,7
2026,CNN-News18,BJP+,153
2026,CNN-News18,TMC+,137
2026,CNN-News18,OTHERS+,3
2026,JanmatPolls,TMC+,200
2026,JanmatPolls,BJP+,85
2026,JanmatPolls,OTHERS+,6
2026,PeopleInsight,BJP+,149
2026,PeopleInsight,TMC+,144
2026,PeopleInsight,OTHERS+,2
2026,PrajaPoll,BJP+,193
2026,PrajaPoll,TMC+,98
2026,PrajaPoll,OTHERS+,3
