Source/Agency,TMC/TMC+,BJP/BJP+,CONG+LEFT+
ABP-C Voter,152-164,109-121,14-25
Republic-CNX,128-138,138-148,11-21
Times Now-C Voter,158,115,19
Republic-Jan Ki Baat,104-121,162-185,3-9
P-MARQ,152-172,112-132,10-15
ETG Research,164-176,105-115,10-15
India Today-Axis My India,130-156,134-160,0-2
India TV-PP,64-88,173-192,7-12
India News-JKB,104-121,162-185,3-9
POLL STRAT,142-152,125-135,16-26
Janmat Polls,195-205,80-90,1-4
JVC,131-152,138-159,0-3
Matrize,125-140,146-161,0
NDTV POLL OF POLLS,142,143,2
P-Marc,118-138,150-175,0
Peoples Pulse,177-187,95-110,1-4
Poll Diary,99-127,142-171,5-8
Praja Poll,85-110,178-208,0
Today's Chanakya,89-111,181-203,0
