party,CONTESTED,WON,FD,VOTES,Voteshare%,SEATS_CONTESTED%
BJP,289,0,285,1934650,4.06,4.14
BSP,150,0,150,291602,0.61,1.22
CPI,14,2,1,876576,1.84,38.71
CPM,213,40,2,14330061,30.08,41.39
INC,66,42,5,4330580,9.09,42.67
NCP,1,0,1,13093,0.03,7.15
AIFB,34,11,0,2285829,4.80,41.71
AITC,226,184,3,18547678,38.93,50.15
RSP,23,7,0,1411254,2.96,40.55
JD(S),2,0,2,754,0.00,0.24
JD(U),40,0,40,63495,0.13,1.02
JMM,30,0,27,226047,0.47,4.70
JVM,13,0,13,19593,0.04,0.94
LJP,4,0,4,3979,0.01,0.61
MUL,15,0,15,32453,0.07,1.36
RJD,1,0,0,21711,0.05,19.68
SP,5,1,0,354788,0.74,43.82
ABGL,3,0,3,17513,0.04,4.06
AIMF,4,0,4,5099,0.01,0.91
AJSU,5,0,5,18220,0.04,2.33
AMB,9,0,9,11476,0.02,0.79
CPI(ML)(L),37,0,37,71249,0.15,1.19
DSP(P),2,1,0,167963,0.35,45.40
GNLF,3,0,3,42605,0.09,9.88
GOJAM,3,3,0,343931,0.72,79.79
IPFB,9,0,9,17327,0.04,1.24
JDP,29,0,29,61131,0.13,1.24
PDCI,36,0,36,87864,0.18,1.46
PDS,27,0,27,47016,0.10,1.05
RCPI(R),2,0,0,107662,0.23,32.88
SUCI,30,1,28,209795,0.44,4.45
IND,401,2,387,1491944,3.13,4.68
