Party,CONTESTED,WON,FD,VOTES,Voteshare%,SEATS_CONTESTED%
BJP,291,3,263,5555134,10.1560481665521,10.242434890522627
BSP,161,0,161,300294,0.5490057176166402,1.007338218098818
CPI,11,1,0,791925,1.4478189804776578,37.26912835630402
Communist Party of India  (Marxist),148,26,0,10802058,19.748618367421823,38.49640588693201
INC,92,44,4,6700938,12.250838429654316,40.219696045282724
Nationalist Congress Party,1,0,0,69898,0.12778943851681324,36.35295096631925
Aam Aadmi Party,2,0,2,1150,0.0021024615052553037,0.38017282987431156
AJSU Party,12,0,12,17257,0.031549720170600676,0.7556282415891094
Indian Union Muslim League,10,0,10,13468,0.024622566567633418,0.7458058113933079
Janata Dal  (Secular),3,0,3,1299,0.002374867387240556,0.3067419471383739
Janata Dal  (United),2,0,1,40327,0.07372692619341793,12.397626660108214
Jharkhand Mukti Morcha,18,0,18,39326,0.07189687057014789,1.2114259591893062
Lok Jan Shakti Party,19,0,19,13204,0.024139914535122632,0.3649127694320057
Rashtriya Janata Dal,1,0,1,15639,0.028591648244076256,14.946955939978974
Rashtriya Lok Dal,2,0,2,1569,0.0028684887841265837,0.43641157867507785
Shivsena,21,0,21,49218,0.08998169597013525,1.2455296271964675
Samajwadi Party,23,0,23,46402,0.08483340762335356,1.1277065309135026
All India Forward Bloc,25,2,2,1543764,2.822351637564303,32.66726918495612
TMC,293,211,1,24564523,44.90953391518133,45.02311280212397
Revolutionary Socialist Party,19,3,4,911004,1.6655224705509588,27.273772386250005
Akhil Bharatiya Gorkha League,1,0,1,3855,0.007047816611094953,2.183616363245007
Akhil Bharat Hindu Mahasabha,4,0,4,2781,0.005084300387926087,0.3804138180087163
Akhil Bhartiya Jharkhand Party,1,0,1,769,0.0014059068674272422,0.35269405052376673
Amra Bangalee,21,0,21,32025,0.058548982352870524,0.7686591560086464
Bharat Nirman Party,12,0,12,18272,0.03340537097741296,0.7635996334119974
Bahujan Mukti Party,23,0,23,35915,0.06566078692282107,0.8628574407669929
Communist Party of India  (Marxist-Leninist)  (Liberation),35,0,35,45730,0.08360483881332612,0.6900313630043299
Communist Party of India (Marxist-Leninist) Red Star,4,0,4,6302,0.011521489048799063,0.9427794790627257
Democratic Socialist Party  (Prabodh Chandra),2,0,0,167576,0.3063670340910111,39.13964531039428
Forward Democratic Labour Party,1,0,1,1712,0.003129925301736591,0.8759542375309551
Guru Chand Mukti Morcha,2,0,2,2220,0.004058664818840673,0.547302194632494
Gorkha Janmukti Morcha,5,3,2,254626,0.4655142289018582,32.287294611133795
Gorkha Rashtriya Congress,4,0,4,12001,0.021940556977885998,1.9058826518782497
Hindustan Krantikari Dal,3,0,3,1737,0.0031756309866334455,0.32227062569111004
Indian Unity Centre,16,0,16,19326,0.035332322652664346,0.6237763158659181
Jharkhand Disom Party,16,0,16,30350,0.05548670146478127,1.007429084129125
Jamat-E-Seratul Mustakim,1,0,1,519,0.0009488500184586979,0.3117192004612723
Jharkhand Anushilan Party,2,0,2,3855,0.007047816611094953,1.0210027279709721
Jharkhand Party  (Naren),2,0,1,51099,0.09342059170177457,14.414711756541756
Kamatapur People’s Party (United),13,0,13,31080,0.05682130746376943,1.2331987580720358
Mai Hee Bharat,1,0,1,473,0.0008647515582484858,0.3512915348395051
Mulnibasi Party of India,14,0,14,11785,0.021545659860377177,0.44365288387550467
New Democratic Party of India,4,0,4,4771,0.008722472905715699,0.5913324128494265
Party for Democratic Socialism,23,0,23,26791,0.04898004016286508,0.6255167207990439
Rashtriya Janadhikar Suraksha Party,3,0,3,1278,0.0023364746119271984,0.2514654057978714
Revolutionary Communist Party of India  (Rasik Bhatt),1,0,1,751,0.001372998774301507,0.40491068780900724
Republican Party of India (A),6,0,6,6923,0.01265681826163693,0.5930429881211511
SOCIAL DEMOCRATIC PARTY OF INDIA,8,0,8,15888,0.029046876865648927,1.1367319386044554
Socialist Party (India),1,0,1,997,0.0018227427136865548,0.5114918941104042
Samajtantric Party of India,1,0,1,245,0.00044791571198917336,0.18195861741158295
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),182,0,180,365996,0.6691239139803653,1.070755851890964
Samajwadi Jan Parishad,1,0,1,1560,0.002852034737563716,0.7267915878532627
The Religion of Man Revolving Political Party of India,1,0,1,537,0.000981758111584433,0.28353291516188306
Welfare Party Of India,22,0,22,43754,0.07999226147907874,1.053370549826011
Independent,371,1,359,1184047,2.164707163402632,3.529208450533028
None of the Above,294,0,294,831848,1.5208073028031426,1.5208073028031426
