party,CONTESTED,WON,FD,VOTES,Voteshare%,SEATS_CONTESTED
AITC,290,215,0,28968281,48.02,48.59
BJP,293,77,11,22905474,37.97,38.1
BSP,162,0,162,236108,0.39,0.71
CPI,10,0,10,118655,0.2,5.53
CPI(M),139,0,120,2843434,4.71,9.84
INC,92,0,79,1827169,3.03,10.01
NPEP,3,0,3,3880,0.01,0.75
AIFB,21,0,20,318932,0.53,7.38
RSP,11,0,10,135188,0.22,6.16
AIMIM,6,0,6,10852,0.02,0.93
AJSUP,1,0,0,61936,0.1,30.02
CPI(ML)(L),12,0,12,17946,0.03,0.72
IUML,4,0,4,2372,0,0.29
JD(U),16,0,16,11538,0.02,0.39
LJP,10,0,10,6920,0.01,0.32
ABHM,2,0,2,819,0,0.23
AIMF,2,0,2,658,0,0.19
AMB,40,0,40,33372,0.06,0.39
APoI,4,0,4,6139,0.01,0.7
BAHUMP,6,0,6,4241,0.01,0.34
BHMP,1,0,1,1170,0,0.59
BMF,2,0,2,166,0,0.06
BMUP,45,0,45,46706,0.08,0.52
BNARP,8,0,8,7015,0.01,0.45
BTP,2,0,2,3239,0.01,0.86
CPIM,3,0,3,6410,0.01,0.98
DSPI,3,0,3,2059,0,0.32
GMM,2,0,2,1939,0,0.47
HAMS,3,0,3,1650,0,0.29
HUMP,3,0,3,4147,0.01,0.67
IUC,5,0,5,4819,0.01,0.46
JASP,4,0,4,1966,0,0.25
JeSM,1,0,1,241,0,0.12
JSTDVPMTP,8,0,8,5034,0.01,0.3
KPPU,15,0,15,18338,0.03,0.59
LKSAMYP,1,0,1,498,0,0.21
MPOI,2,0,2,2728,0,0.63
NDPOI,1,0,1,367,0,0.16
NRPI,4,0,4,1940,0,0.3
PDS,7,0,7,4673,0.01,0.33
PMPT,12,0,12,11118,0.02,0.45
PRDSEP,1,0,1,1938,0,0.84
PrPP,1,0,1,2247,0,1.18
RPI(A),5,0,5,2129,0,0.2
RPPRINAT,4,0,4,3410,0.01,0.44
RSPI,1,0,1,260,0,0.14
RSSCMJP,32,1,23,813489,1.35,12.06
RTORP,2,0,2,777,0,0.17
RVNP,1,0,1,1169,0,0.51
SDPI,5,0,5,5775,0.01,0.59
SJSMP,1,0,1,409,0,0.4
SP(I),4,0,4,2824,0,0.34
SUCI,190,0,190,227864,0.38,0.58
SWJP,1,0,1,1377,0,0.62
UTSAP,6,0,6,4459,0.01,0.36
VINPA,1,0,1,154,0,0.08
WBSP,2,0,2,2163,0,0.57
WPOI,4,0,4,4564,0.01,0.54
IND,615,1,607,953240,1.58,0.79
