Year,Alliance,Agency,Predicted Seats,Actual Seats
2011,TMC+INC,Star News - Nielsen (May),225,226
2011,LEFT FRONT,Star News - Nielsen (May),34,60
2011,BJP,Star News - Nielsen (May),2,0
2011,OTHERS,Star News - Nielsen (May),33,8
2011,TMC+INC,CNN-IBN - CSDS (May),228,226
2011,LEFT FRONT,CNN-IBN - CSDS (May),66,60
2011,BJP,CNN-IBN - CSDS (May),2,0
2011,OTHERS,CNN-IBN - CSDS (May),8,8
2011,TMC+INC,Headlines Today - ORG (May),210,226
2011,LEFT FRONT,Headlines Today - ORG (May),70,60
2011,BJP,Headlines Today - ORG (May),3,0
2011,OTHERS,Headlines Today - ORG (May),11,8
2011,TMC+INC,Star Ananda - Nielsen (May),200,226
2011,LEFT FRONT,Star Ananda - Nielsen (May),80,60
2011,BJP,Star Ananda - Nielsen (May),2,0
2011,OTHERS,Star Ananda - Nielsen (May),12,8
2011,TMC+INC,C-Voter (May),175,226
2011,LEFT FRONT,C-Voter (May),105,60
2011,BJP,C-Voter (May),3,0
2011,OTHERS,C-Voter (May),11,8
2011,TMC+INC,News24 - Chanakya (May),210,226
2011,LEFT FRONT,News24 - Chanakya (May),70,60
2011,BJP,News24 - Chanakya (May),1,0
2011,OTHERS,News24 - Chanakya (May),13,8
2011,TMC+INC,India TV - C-Voter (May),185,226
2011,LEFT FRONT,India TV - C-Voter (May),95,60
2011,BJP,India TV - C-Voter (May),3,0
2011,OTHERS,India TV - C-Voter (May),11,8
2011,TMC+INC,Average Estimate,205,226
2011,LEFT FRONT,Average Estimate,74,60
2011,BJP,Average Estimate,2,0
2011,OTHERS,Average Estimate,15,8
2016,TMC,Times Now - CVoter (Mar),160.0,211
2016,TMC,ABP - Neilson (Mar),178.0,211
2016,TMC,News Nation (Mar),167.0,211
2016,TMC,ETV Bangla (Mar),201.0,211
2016,TMC,Leadtech Infoelections (Feb),109.0,211
2016,TMC,ABP Ananda - Neilson (Feb),182.0,211
2016,TMC,India TV - CVoter (Feb),156.0,211
2016,TMC,Times Now - CVoter,167.0,211
2016,TMC,India Today - Axis,243.0,211
